Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect
0.3;0.59;0.0;0.99;0.0;0.0;0.0;0.8
0.29;0.61;0.0;0.99;0.0;0.0;0.0;0.76
0.24;0.6;0.0;0.99;0.0;0.0;0.0;0.77
0.32;0.59;0.0;0.99;0.0;0.0;0.0;0.76
0.32;0.58;0.0;0.99;0.0;0.0;0.0;0.77
0.26;0.58;0.0;0.99;0.0;0.0;0.0;0.75
0.36;0.57;0.0;0.99;0.0;0.0;0.0;0.75
0.32;0.57;0.0;0.99;0.0;0.0;0.0;0.73
0.39;0.57;0.0;0.99;0.0;0.0;0.0;0.76
0.32;0.56;0.0;0.99;0.0;0.0;0.0;0.79
0.42;0.56;0.0;0.99;0.0;0.0;0.0;0.75
0.45;0.55;0.0;0.99;0.0;0.0;0.0;0.73
0.48;0.58;0.0;0.99;0.0;0.27;0.0;0.71
0.52;0.56;0.0;0.99;0.0;0.0;0.0;0.73
0.53;0.56;0.0;0.99;0.0;0.0;0.0;0.71
0.57;0.56;0.0;0.99;0.0;0.0;0.0;0.7
0.6;0.2;0.0;0.91;0.0;0.01;0.59;0.63
0.34;0.22;0.0;0.91;0.01;0.37;0.02;0.65
0.38;0.23;0.0;0.92;0.27;0.83;0.04;0.64
0.1;0.14;0.0;0.93;0.0;0.46;0.0;0.53
0.31;0.14;0.0;0.94;0.0;0.02;0.0;0.5
0.29;0.33;0.0;0.95;0.0;0.71;0.0;0.68
0.59;0.33;0.0;0.95;0.0;0.81;0.0;0.71
0.81;0.33;0.0;0.95;0.0;0.1;0.0;0.72
0.37;0.33;0.0;0.95;0.0;0.84;0.0;0.73
0.41;0.36;0.0;0.96;0.0;0.75;0.0;0.66
0.71;0.35;0.74;0.96;0.0;0.64;0.0;0.67
0.54;0.37;0.0;0.96;0.0;0.33;0.0;0.61
0.32;0.38;0.0;0.96;0.0;0.15;0.0;0.58
0.3;0.39;0.0;0.96;0.0;0.02;0.0;0.61
0.68;0.39;0.0;0.97;0.0;0.43;0.0;0.62
0.54;0.35;0.0;0.97;0.0;0.21;0.1;0.55
0.78;0.33;0.0;0.97;0.0;0.99;0.41;0.52
0.75;0.32;0.0;0.97;0.0;0.75;0.9;0.49
0.64;0.32;0.0;0.97;0.0;0.16;0.04;0.55
0.71;0.29;0.0;0.98;0.0;0.0;0.23;0.54
0.78;0.29;0.0;0.98;0.0;0.0;0.97;0.54
0.9;0.93;0.17;1.0;0.97;0.0;0.0;0.68
0.98;0.92;0.87;1.0;0.0;0.0;0.78;0.67
0.97;0.91;0.98;1.0;0.0;0.02;0.98;0.68
0.73;0.92;0.26;0.99;1.0;0.0;0.93;0.72
0.66;0.9;0.0;0.99;0.16;0.0;0.41;0.72
0.71;0.89;0.74;0.99;0.05;0.0;0.98;0.71
0.68;0.87;0.01;0.99;0.74;0.0;0.59;0.72
0.62;0.86;0.0;0.99;0.83;0.01;0.98;0.74
0.57;0.86;0.0;0.99;0.71;0.0;0.95;0.74
0.71;0.85;0.43;0.99;0.58;0.48;0.16;0.69
0.69;0.85;0.08;0.99;0.0;0.0;0.0;0.74
0.8;0.85;0.0;0.99;0.1;0.56;0.03;0.72
0.75;0.84;0.0;0.99;0.11;0.03;0.13;0.73
0.93;0.85;0.0;0.99;0.0;0.0;0.0;0.69
0.87;0.88;0.0;0.99;0.25;0.62;0.16;0.69
0.75;0.84;0.0;0.99;0.02;0.14;0.0;0.77
0.76;0.83;0.0;0.99;0.07;0.86;0.35;0.75
0.84;0.84;0.0;0.99;0.0;0.58;0.03;0.75
0.91;1.0;0.0;1.0;0.01;0.72;0.2;0.7
0.87;1.0;0.0;1.0;0.16;0.21;0.0;0.73
0.86;1.0;0.0;1.0;0.06;0.2;0.9;0.71
0.82;1.0;0.0;1.0;0.91;0.07;0.03;0.74
0.77;1.0;0.0;1.0;0.0;0.11;0.13;0.75
0.74;1.0;0.0;1.0;0.01;0.01;0.01;0.73
0.78;1.0;0.0;1.0;0.0;0.85;0.0;0.74
0.68;0.99;0.0;1.0;0.0;0.01;0.0;0.75
0.75;0.99;0.0;1.0;0.03;0.0;0.0;0.75
0.78;0.99;0.0;0.99;0.09;0.0;0.02;0.73
0.84;0.99;0.0;0.99;0.0;0.0;0.0;0.72
0.87;0.99;0.0;0.99;0.0;0.0;0.0;0.73
0.92;0.99;0.0;0.99;0.0;0.0;0.01;0.72
0.79;0.98;0.0;0.99;0.0;0.0;0.01;0.71
